Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,12.491688524856768
M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,12.358613541953265
M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,21.188126563441365
M,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,12.507070816144678
M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,17.26282255537389
M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,9.86293000919827
M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,12.258007980223832
M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19.713916155690942
M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,11.161671797666447
M,0.62,0.48,0.16,1.0765,0.412,0.253,0.3,14.575107994922902
F,0.605,0.45,0.165,1.2225,0.357,0.202,0.385,10.596456670729607
M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,19.28537317145272
F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,8.75796453736023
M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9.143719105521225
F,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,6.45092235268123
M,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,10.588629086637116
M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18.848754807828225
M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13.889261521074362
I,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9.085356473046767
M,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,7.425751896714212
I,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7.664446201421373
I,0.35,0.28,0.075,0.196,0.082,0.04,0.064,11.311339836790022
I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,3.6463582112330384
I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,2.8351238593277586
I,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7.26904231625743
I,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,5.659328096866325
I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,8.82003575454662
I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,10.200090823453847
M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,11.627874824516184
F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,8.58902232711488
F,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,11.001633969264816
M,0.56,0.45,0.14,0.9,0.472,0.182,0.218,9.808849021661405
M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,6.702671751393925
F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,7.474439859517702
M,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,8.450823042526055
F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,8.961079435300945
M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,9.34927496348203
M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,8.408461614340426
F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,7.432449226222307
M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,6.607760619856148
F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10.26556128861046
M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,15.513183148190079
M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,16.435381483898006
I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,2.5430806480492603
I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,7.05366170968001
I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,5.773684056769314
I,0.35,0.265,0.095,0.199,0.073,0.049,0.06,4.052267894532728
I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6.4761691757286455
I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,4.586141851816766
I,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,1.8053274583662144
I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,6.434787962059529
I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,3.883862484887424
I,0.395,0.3,0.09,0.279,0.134,0.049,0.075,8.980097489461691
I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6.694550522710348
I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,12.209952861156326
I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7.658442395830887
F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,4.573183250556184
M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,7.334994203581622
I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,9.738809802510279
F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,8.730198161304106
I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,12.62470455769363
I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8.861275538894008
F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,7.741152929417253
M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,5.988440145805052
M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7.149066811390858
F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,6.757648412069489
M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,4.555379819036219
F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,6.324457541012158
F,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,9.074467853573683
F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,7.08841926986728
M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,8.493177893706704
F,0.61,0.48,0.16,1.234,0.598,0.238,0.315,9.142294707741689
F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,8.925432037093257
F,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,6.942086643352752
M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8.684714108875399
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9.126694951060596
F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,13.414000586757217
F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,9.194129962063531
M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,5.953399456636896
M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,12.608775857527252
F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,5.471563060607703
M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,6.893919794526994
M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10.05121775397988
F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,9.370659206480928
F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,9.07001448567974
M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11.411016612376423
F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,7.7768845508355104
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,7.091125499607846
I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,5.103056534432439
I,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6.039430228031786
I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,5.889970448429208
I,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,10.088246972771918
I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,7.970972382488552
I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,6.4452430104792295
I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,9.45838201880641
I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,7.778833055296955
I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6.674002162088777
I,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,5.835919710732697
I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,5.0289184777807305
I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,5.187055129750098
I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7.5930409354498485
F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,5.741417757185801
I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,10.341705644969222
I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,7.684416495675766
F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,6.518761870565707
M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,9.892215385644366
M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,9.949083412314943
M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,7.877154212737524
M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8.685216174921393
F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,10.498818096566064
M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,9.360876302303136
M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,7.356163777083069
F,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,11.16790715277249
M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,11.698579047578281
F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,11.794503012827116
M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8.065209008009166
M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,13.895373237162365
M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10.737672966511964
F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,10.320594310786898
F,0.62,0.51,0.18,1.233,0.592,0.274,0.322,10.409189207927405
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,8.583097303887714
M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,10.014376138840127
F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11.570723337586964
F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9.071886035630978
F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,8.081556690792832
M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,5.531836736952975
M,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11.495791489813321
F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,12.272185970622376
F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,8.314111793560327
M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10.483425859558473
F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,13.272685924519081
F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,12.137640875017683
F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11.374166294193426
M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,10.221709210802597
M,0.715,0.545,0.18,1.7405,0.871,0.347,0.449,10.802190098028122
F,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,11.8795356950354
I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,4.715411290765636
I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,5.377866983016262
I,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4.084472696105796
I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,7.1635269954566665
I,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,2.6423688174940123
I,0.335,0.26,0.085,0.192,0.097,0.03,0.054,6.533004921907268
I,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7.53540713247488
I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,5.332594669379292
I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,8.479814040304007
I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,3.9251707557789906
I,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,10.055880149932612
I,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,9.32182371463325
I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,7.031268200858645
I,0.4,0.315,0.09,0.33,0.151,0.068,0.08,8.862944373117816
I,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,9.968143299024536
I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,6.840000341388757
I,0.43,0.325,0.105,0.309,0.119,0.08,0.098,7.808105504811339
M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,8.704210640891953
I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,10.487194205848587
I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,7.769518965136598
I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,6.77199557932204
I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,10.180311495747862
I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,7.538910006093218
I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,8.139231361100407
I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8.83791368919586
I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,9.138724512702215
I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,8.844645456094709
F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,2.9241043817261536
I,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,5.479868053449481
M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,4.921148127360732
I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,8.030435865672962
I,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,6.814872953444297
I,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9.529072922131189
I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,10.197993818552384
M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,12.17313283910647
I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,7.513586215836629
I,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,6.684073510114614
I,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,8.744336828694518
F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,13.768446603391421
M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,9.867084437246906
I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,6.467845690596443
F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,6.145245522440043
I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,6.805592033570802
I,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,7.955256132758631
F,0.575,0.475,0.16,0.895,0.3605,0.221,0.271,10.709706810109092
M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9.703786279417148
I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,9.595673086548413
I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,6.675077206099201
I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11.045655785932661
M,0.58,0.47,0.165,1.041,0.54,0.166,0.279,8.277926729797127
F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,8.318396283489264
F,0.585,0.46,0.165,1.058,0.486,0.25,0.294,8.87412479893716
F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,11.028432113970226
F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,7.566027993396923
M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,6.330677414053961
F,0.6,0.475,0.155,1.059,0.441,0.19,0.39,9.962366663414459
M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,9.227223630631393
F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,12.355374943308911
F,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,5.648355045178243
F,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10.719366016436082
M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,10.114478423464842
F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10.639704482843207
F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,10.216776208518532
M,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,12.136265779792069
M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,6.999224897832388
I,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325,10.609695159687382
M,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,10.550137363074047
M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,11.367224064918117
M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,13.584076227664681
F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,10.818682089036425
F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,6.895587049250798
M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,9.34413825130769
F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8.429826689294291
F,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,11.232083157954676
M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,10.255998043940833
M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,9.293314238971366
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,8.665201796134127
M,0.715,0.52,0.18,1.6,0.708,0.3525,0.445,14.942259668299842
M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,10.601142735734951
I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,2.1144221105289978
I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,10.932186704072736
I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,3.3251499604932038
I,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7.04798149175025
I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,13.509498575494117
I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,5.682747777669521
F,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,11.08575794711026
M,0.515,0.39,0.14,0.678,0.341,0.1325,0.119,4.150032694573373
M,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,10.877783974552631
F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,7.474362037452596
M,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,11.357658723203912
F,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,8.83040576315428
M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,12.012187874652131
F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11.802677300500159
M,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,9.623182642217719
M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9.455334881935562
M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,13.508023097986328
M,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,10.145078558700426
M,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11.239399635941515
F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,9.577588698511201
F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,8.273912848193124
F,0.655,0.455,0.17,1.275,0.583,0.303,0.333,8.815031434746139
M,0.655,0.505,0.165,1.27,0.6035,0.262,0.335,11.909057553995519
M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,11.732490089031588
F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,10.49555842590137
F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,11.81590155015611
M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,9.680185544610103
M,0.715,0.525,0.2,1.89,0.95,0.436,0.4305,5.534180781134277
F,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,12.741402637163286
I,0.27,0.205,0.05,0.084,0.03,0.0185,0.029,9.033501092166878
I,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,8.688733897640677
I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5.086405138908349
I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,4.199082667287321
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5.333286833868895
I,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,7.134723289564118
I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,4.651216233087476
I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,5.142519283659123
I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,8.13367616209369
I,0.44,0.34,0.105,0.344,0.123,0.081,0.125,7.75427974553795
I,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,7.455434026194255
I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7.0664885073184625
I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,7.198205941678662
I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8.10644439642738
I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,5.571564811731098
I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,10.729716501120587
I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,7.003720620842373
I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,10.638807744497807
I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,7.492938270085106
I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,6.47825127373053
I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,7.012221213839994
I,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,9.704140332032923
I,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,12.125767668213694
F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10.844997343688684
I,0.53,0.425,0.13,0.781,0.3905,0.2005,0.215,10.197189989650326
I,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,6.851467554279434
M,0.53,0.41,0.125,0.769,0.346,0.173,0.215,8.567332746451743
I,0.53,0.395,0.125,0.6235,0.2975,0.108,0.195,7.480071895591997
M,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,4.743393726577802
I,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10.67024898716155
M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,7.009584206242461
F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10.911953954866162
I,0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,10.144521041488844
I,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8.039461389145803
I,0.55,0.4,0.135,0.717,0.3315,0.1495,0.221,8.902949181571104
I,0.555,0.43,0.15,0.783,0.345,0.1755,0.247,10.065006445770912
I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,11.51171583855157
I,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8.605429769692305
F,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,10.736837881978758
F,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10.943784215467996
I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,11.397953936323505
M,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,8.99713549713322
I,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,7.349827505039887
F,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,7.7935896155086555
F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,9.793563050781849
F,0.595,0.45,0.165,1.081,0.49,0.2525,0.279,13.813512506574451
M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,12.548864846799725
F,0.6,0.5,0.16,1.122,0.5095,0.256,0.309,10.97917994373286
M,0.605,0.49,0.165,1.1245,0.492,0.222,0.3555,9.086048740167755
F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10.303419240899192
M,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,9.394264424225067
F,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,6.412332420498089
M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,13.862585346931196
M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,10.1783590092751
M,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10.029250767810318
I,0.62,0.47,0.155,0.966,0.447,0.171,0.284,8.613878865352428
M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,9.176337752403622
F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14.527619948234936
I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11.136891966796766
I,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,13.596593715615793
F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,8.549894640887846
M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13.285120958517185
M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,14.769173325180336
M,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,12.736549248913159
M,0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,8.963790912784594
M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,12.479680607661166
F,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,9.446246987821523
M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13.733597793492619
M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,11.572538621837975
F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,11.094851260206314
M,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11.877122717731085
F,0.66,0.53,0.17,1.431,0.622,0.309,0.398,8.42330648864132
M,0.66,0.51,0.18,1.261,0.5,0.2335,0.339,6.74027004401962
F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,14.658779783087887
F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11.562773139488328
M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,9.228172373894314
F,0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,8.369946720775635
F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,8.991488452392089
M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11.616795962893335
F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9.031223019405067
M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,9.659673745342095
M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,10.432365027664293
M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11.70965188189275
F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,8.721171489478659
M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,7.762349472274184
F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11.540555927163302
M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,7.895485135134391
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,4.328041509167572
I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,8.011026698362699
I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,6.292806295534403
I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,10.315763492248339
F,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,8.392763393736232
M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,6.50832779360683
I,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,13.279148001249037
I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,10.438067716753418
F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,6.939291610106637
M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,6.661111645983931
I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8.460026015283296
M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,8.87701239807219
I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,9.903793026541065
M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,11.055498594998117
M,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,8.886560068886677
F,0.55,0.415,0.18,1.1655,0.502,0.301,0.311,9.892969630891864
F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10.790229360384153
M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,8.373838929946416
M,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,13.3985509708686
